Name,Latitude,Longitude
1053 Gallery,42.156925892431765,-74.52811793033571
2773 Church Street Studios,41.98417704848449,-73.6660520446824
68 Prince St Gallery,41.92864031159254,-73.99792683034768
All One One All Farm,41.39925823372702,-74.29507103222684
Alpana Bawa,41.71625002491314,-74.3923299168665
Ann Street Gallery,41.49963964523237,-74.01179153222162
Architectural Interventions,42.25444654051282,-73.78976775916651
Army Of Frogs Studio,41.805990220734635,-74.13171568338304
Art Omi,42.33130740559702,-73.67246216101404
Art Sales & Research,41.86072305303193,-73.77507501871052
ART06870 gallery,41.68047303115261,-74.26195907454037
Artport Kingston,41.930889478254606,-73.99843510336322
Arts on the Lake,41.463985148992755,-73.66704304571569
Arts Society of Kingston,41.9201627173468,-73.98578373034812
Arts&Rec / OSMOS Station,42.406774564089595,-74.62096107073559
ArtsWestchester,41.03182167324158,-73.76602111909034
Ashley Garrett & Brian Wood Studio,42.35583083918122,-73.48081960319884
Assembly,41.93185809539601,-74.01867968987095
Athens Cultural Center,42.26056795714462,-73.80919483218182
Available Items x Amin Tadj Studio,42.00480203846646,-74.13984008803226
Bank Art Gallery,41.50053552627572,-74.01052446107398
BAU Gallery,41.50255430861246,-73.96352481872923
BCMT GALLERY,41.937859373817865,-74.0287792591831
Beattie Powers Place,42.21836343882022,-73.85797191869186
Bethany Arts Community,41.17274911341798,-73.8304517475823
Bosco's Mercantile,41.93391351702169,-74.01921102055827
Boscobel House and Gardens,41.41305538030336,-73.9393555168823
Caramoor Center for Music and the Arts,41.23824479557755,-73.6455245168914
Carolee Schneemann Foundation,41.84155730810984,-74.09792134305778
Carrie Haddad Gallery,42.247786794388794,-73.78358394567468
Catskill Art Space,41.90109053696396,-74.82813843220066
Catskill Octagon House,42.21841512139769,-73.87319611684022
ChaNorth (Chashama North),41.98828048768514,-73.68154167637583
Chapel of Sacred Mirrors,41.58097390566512,-73.93536016105334
Charlotte Woolf at Foxtrot Farm & Flowers,41.91521651033737,-73.66735563405155
Cold Spring Ceramics,41.419387579840226,-73.95580910331694
Color Wheels,41.84043431838971,-74.12089545911435
Community Hinterland,42.083160958984216,-74.3145905225935
CPW,41.92912825474141,-74.00034955910974
Cronin Gallery + Trimper Gallery,41.72299012527435,-74.13572135907968
DARNStudios at (Creative Legion),42.24745089543928,-73.77411631685536
Deborah Masters Studio,42.33650461016818,-73.5895096149078
Delaware Valley Arts Alliance,41.608646807600536,-75.06110754563491
Dia Art Foundation,41.50024254393065,-73.98256748796815
Distortion Society,41.50838206235457,-73.97610627632928
East Branch Nature Preserve - Outdoor Sculpture Series,42.15857486927239,-74.62030945359895
Edward Hopper House Museum & Study Center,41.09359836934445,-73.91795798798901
FABHAUS,41.49579893423493,-74.0108895591322
Farm & Field,42.301242140636184,-73.53477390141806
Forged Hands,42.16650046727903,-74.0098217609504
Foreland,42.21816575660268,-73.8663299302585
"Frances Lehman Loeb Art Center, Vassar College",41.68672690414232,-73.89732127512099
Freewheelin’,42.334522023015595,-73.60968290512247
Friday Arts,41.85196268730318,-73.54327614747531
Friends of River Hook,41.114409998074485,-73.91929646100492
Front Room Gallery - Expanded Field,41.92710498665909,-73.97982170329058
Frost Valley YMCA,41.98923728112938,-74.50156227445127
Gaa,42.21807400248845,-73.86637567637996
GARNER Arts Center,41.20964576925491,-73.98977286891514
Garrison Art Center,41.38275107100404,-73.94725604961268
Gatherwild Ranch,42.11931651738632,-73.87289458978907
Glasshouse Project Inc.,41.78070888038741,-74.08868011573078
Glögg Glögg,42.02112356289424,-74.08132416414692
Good Naked Gallery,41.66734712730689,-74.38606455987025
Goshen Green Farm,41.42419191277833,-74.30291100331671
Hammond Museum,41.332055177285376,-73.58171070332133
Headstone Gallery,41.9361085497278,-74.0264666609625
"Hessel Museum of Art, Bard College",42.020471093298276,-73.91415417444964
Howland Cultural Center,41.50195581587216,-73.96487694706674
Hudson Hall,42.252233357943076,-73.7903847593626
Hudson Valley MOCA,41.293566940288734,-73.90685326125899
Hudson Valley Seed Company,41.80148212954812,-74.21329684589166
Interlude Artist Residency,42.14918077614474,-73.7396760747104
International Museum of Dinnerware Design,41.928454155758764,-74.00082011704977
Jack Shainman Gallery / The School,42.39308887319783,-73.70123558819131
Jacob Burns Film Center,41.135193804206004,-73.7915993324309
Jane St. Art,42.07730026596194,-73.95294741889235
John Cage Trust / Bard Library,42.0227882568693,-73.90650134588086
JW1301 & 1301 Guest House,42.04410668729213,-73.64520878820841
Kaatsbaan Cultural Park,42.056166797449876,-73.9161380895139
Katonah Museum of Art,41.26293776125613,-73.67328239009618
Kayrock Editions,41.75462498044236,-74.08442577472955
KENT FINE ART LLC,41.980478506379306,-73.66075981704726
The Kinderhook Knitting Mill,42.39468311052064,-73.69849677469828
Kingsland Editions,42.072422287372135,-73.95222034587839
KinoSaito Art Center,41.25257905853884,-73.95693817457754
Ligenza Moore Gallery,41.4792408174075,-73.85921443223941
lite brite neon studio x queer|art,41.93129705996913,-74.00601278989033
Loading... Invitational,42.254213717882344,-73.79718361685596
Lyndhurst Mansion & Gardens,41.05380146351254,-73.86111684575349
Lynn & Lorraine with Tulsa Artist Fellowship,41.78280327772073,-74.22591573036972
Magazzino Italian Art,41.42927902062312,-73.91433274758754
Manitoga / The Russel Wright Design Center,41.349134870336606,-73.95342404573643
Maria Vera Skin Care,41.933936512223504,-74.0190628745445
Marly Hammer + Jasper Richmus: The Mall,41.96636178936413,-73.98450713803363
Material Projects Space,41.7166760410825,-74.39329397455504
Mendes Wood DM,42.13201908442976,-73.88061928802557
Millbrook Arts Group,41.78576886842977,-73.69225004571524
Mother-in-Law's,42.12431968114253,-73.88146344569873
N/A Project Space,41.80772861954581,-74.02790940360353
Nervous System,42.175744038600016,-74.0204104765992
Olana State Historic Site,42.21737220766298,-73.82929704591226
Open Space,41.88602933082831,-74.12686026127099
Ornamentum,42.24975515587633,-73.78634467659556
Peep Space,41.07858059633588,-73.86163021898149
Pictorial Foundation,41.499158575281264,-74.01178540361863
PS21 : Center for Contemporary Performance,42.375163341149445,-73.60631421891811
