Name,Address,Latitude,Longitude
1053 Gallery,"1053 Main St, Fleischmanns, NY, 12430",42.156925892431765,-74.52811793033571
2773 Church Street Studios,"2773 Church St, Pine Plains, NY, 12567",41.98417704848449,-73.6660520446824
68 Prince St Gallery,"68 Prince St, Kingston, NY, 12401",41.92864031159254,-73.99792683034768
All One One All Farm,"221 Craigville Rd, Goshen, NY, 10924",41.39925823372702,-74.29507103222684
Alpana Bawa,"159 Canal St, Ellenville, NY, 12428",41.71625002491314,-74.3923299168665
Ann Street Gallery,"104 Ann St, Newburgh, NY, 12550",41.49963964523237,-74.01179153222162
Architectural Interventions,"257 State St, Hudson, NY, 12534",42.25444654051282,-73.78976775916651
Army Of Frogs Studio,"282 Mohonk Rd, High Falls, NY, 12440",41.805990220734635,-74.13171568338304
Art Omi,"1405 County Rte 22, Ghent, NY, 12075",42.33130740559702,-73.67246216101404
Art Sales & Research,"99 Willow Ln, Clinton Corners, NY, 12514-2414",41.86072305303193,-73.77507501871052
ART06870 gallery,"50 Camp Ridge Rd, Wallkill, NY, 12589",41.68047303115261,-74.26195907454037
Artport Kingston,"80 Smith Ave, Kingston, NY, 12401",41.930889478254606,-73.99843510336322
Arts on the Lake,"640 Rte 52, Kent Lakes, NY, 10512",41.463985148992755,-73.66704304571569
Arts Society of Kingston,"97 Broadway, Kingston, NY, 12401",41.9201627173468,-73.98578373034812
Arts&Rec / OSMOS Station,"20 Railroad Ave, Stamford, NY, 12167",42.406774564089595,-74.62096107073559
ArtsWestchester,"31 Mamaroneck Ave, 3rd floor, White Plains, NY, 10601",41.03182167324158,-73.76602111909034
Ashley Garrett & Brian Wood Studio,"626 County Rte 5, East Chatham, NY, 12060-2819",42.35583083918122,-73.48081960319884
Assembly,"236 Wall St, Kingston, NY 12401",41.93185809539601,-74.01867968987095
Athens Cultural Center,"24 Second St, Athens, NY, 12015",42.26056795714462,-73.80919483218182
Available Items x Amin Tadj Studio,"760 Ohayo Mountain RdGlenford, New York, 12433",42.00480203846646,-74.13984008803226
Bank Art Gallery,"94 Broadway Newburgh, NY, 12550",41.50053552627572,-74.01052446107398
BAU Gallery,"506 Main St, Beacon, NY, 12508",41.50255430861246,-73.96352481872923
BCMT GALLERY,"79 Hurley Ave, Suite 110a, Kingston, NY, 12401",41.937859373817865,-74.0287792591831
Beattie Powers Place,"10 Powers Pl, Catskill, NY, 12414",42.21836343882022,-73.85797191869186
Bethany Arts Community,"40 Somerstown Rd, Ossining, NY, 10562",41.17274911341798,-73.8304517475823
Bosco's Mercantile,"38 John St, Kingston, NY, 12401",41.93391351702169,-74.01921102055827
